apartment_name,nearbylocation
ARVD Oasis,"[('Prakriya Hospitals', '1.5 km'), ('St. Marys ConventHigh School', '1.0 km'), ('Nagasandra Metro Station', '1.0 km'), ('Orion Mall', '3.0 km'), ('Mall of Asia', '3.5 km'), ('Christ University Yeshwanthpur Campus', '2.0 km'), ('Brigade Rubix Business Park', '2.5 km')]"
ARVD Skylands,"[('K K Hospital', '2.0 km'), ('Winmore Academy', '1.5 km'), ('The Galleria Mall', '2.5 km'), ('Yelahanka Junction', '3.0 km'), ('Manyata Tech Park', '3.5 km'), ('Jakkur Main Road', '1.0 km'), ('Sapthagiri College of Engineering', '2.5 km')]"
ARVD Sowparnika,"[('Vasan Eye Care Hospital', '1.5 km'), ('Apollo Pharmacy', '0.8 km'), ('T John Institute of Technology', '2.0 km'), ('Dominos', '1.2 km'), ('Anjaneya Temple', '1.0 km')]"
ARVDS Nethravati,"[('Marigold Hospital', '2.0 km'), ('GHPS Devarachikkana Halli', '1.8 km'), ('Btm Layout Metro Station', '1.5 km'), ('Nisa Multi Speciality Clinics', '2.0 km'), ('Srinivasa Dental Clinic', '2.0 km')]"
AWHO Sandeep Vihar,"[('Delhi Public School', '2 km'), ('Vydehi School of Excellence', '2 km'), ('Vasan Eye Care', '2 km'), ('Whitefield Railway Station', '2 km'), ('Nexus Whitefield Mall', '2 km')]"
Aadhava Elite Homes,"[('Kristu Jayanti College', '1.0 km'), ('Rashtrotthana Vidya Kendra', '1.9 km'), ('Elements Mall', '3.0 km'), ('Manipal Hospital Hebbal', '8.9 km'), ('Bhartiya Mall of Bengaluru', '3.5 km'), ('Yelahanka Junction', '9.8 km'), ('VIBGYOR High School', '4.4 km')]"
Aadhava Elite Homes K.Narayanapura,"[('Kristu Jayanti College', '1.0 km'), ('Rashtrotthana Vidya Kendra', '1.9 km'), ('Elements Mall', '3.0 km'), ('Manipal Hospital Hebbal', '8.9 km'), ('Bhartiya Mall of Bengaluru', '3.5 km'), ('Yelahanka Junction', '9.8 km'), ('VIBGYOR High School', '4.4 km')]"
Aakruti Amity,"[('Hebbagodi Metro Station', '1.5 km'), ('JJ Hospitals', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Ebenezer International School', '1.8 km'), ('Infosys Office', '2.5 km')]"
Aakruti Amity Apartment,"[('Hebbagodi Metro Station', '1.5 km'), ('JJ Hospitals', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Ebenezer International School', '1.8 km'), ('Infosys Office', '2.5 km')]"
Aarena Guardiana,"[('Hebbagodi Metro Station', '1.5 km'), ('JJ Hospitals', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Ebenezer International School', '1.8 km'), ('Infosys Office', '2.5 km')]"
Aaspire Heights,"[('Dr. Shyamala Reddy Dental College', '2 km'), ('Vibgyor High Marathahalli', '2 km'), ('Yashomathi Hospitals', '2 km'), ('Kundalahalli Metro Station', '2 km'), ('Marathahalli Main Road', '1 km'), ('Forum Value Mall', '3 km')]"
Abhee Siliconshe,"[('Karmelaram Railway Station', '2.9 km'), ('Carmelaram Theology College', '3.4 km'), ('SH 35', '3.4 km'), ('Maya Multispeciality Hospital', '7.3 km'), ('Vibgyor High School', '8.2 km'), ('Divine Workplace Solutions Pvt. Ltd', '8.8 km'), ('Nallurhalli Metro Station', '11.1 km')]"
Abhiman,"[('Hebbagodi Metro Station', '1.5 km'), ('JJ Hospitals', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Ebenezer International School', '1.8 km'), ('Infosys Office', '2.5 km')]"
Abodh Valmark,"[('Arabic College Metro Station', '1.0 km'), ('Dr. Ambedkar Medical College Hospital', '1.5 km'), ('Mona Nursery Primary and High School', '1.8 km'), ('Elements Mall', '3.0 km'), ('Sri Sai Hospital Bengaluru Urban', '2.0 km')]"
Acas Apoorva Dew Drops,"[('Rajnandani Hospital Bangalore', '1.5 km'), ('Florence Public School 4th Blk Anjanapura', '2.0 km'), ('BMTC Bus Depot 34', '1.5 km'), ('Konanakunte Government Hospital', '2.0 km'), ('Mvs HPS Anjanapura', '2.0 km')]"
Accent Ashlar,"[('JJ Hospitals', '1.5 km'), ('Ebenezer International School Bangalore', '1.8 km'), ('Chikkanagamangala Bus Stop', '1.5 km'), ('Anugrahaa Hospital', '2.0 km'), ('St Gasper School', '2.0 km')]"
Accent Kruthika Nilaya,"[('Singasandra Metro Station', '1.5 km'), ('Hospitec Multispeciality Hospital', '2.0 km'), ('Shree Vidyanikethan', '1.8 km'), ('Kudlu Gate Metro Station', '1.5 km'), ('New Bharat International Kudlu Gate', '2.0 km')]"
Adarsh Welk Park,"[('Aurinko Academy', '3.2 km'), ('PES University', '4.2 km'), ('NH44', '4.4 km'), ('PNR Felicity Mall', '5.7 km'), ('Kauvery Hospital', '7.1 km'), ('RGA Techpark', '8.8 km'), ('Karmelaram Railway Station', '8.9 km')]"
Adithya Beau Monde,"[('Whitefield Global School', '2 km'), ('MVJ College of Engineering', '2 km'), ('Bhagwan Mahavir Jain Health Center', '2 km'), ('Channasandra Metro Station', '2 km'), ('Kadugodi Industrial Area Metro Station', '2 km'), ('International Tech Park', '2 km')]"
Adya Nivas,"[('Huskur Road Metro Station', '2.0 km'), ('Vimalaya Hospital', '1.5 km'), ('Apollo Medical Shop', '0.8 km'), ('Silicon Valley School', '1.8 km'), ('Thali', '1.2 km')]"
Affity Brundaavana,"[('Greenfield Public School', '450 m'), ('KNS Institute of Technology', '3.6 km'), ('Regal Hospital', '3.0 km'), ('Elements Mall', '5.8 km'), ('Thanisandra Railway Station', '4.2 km'), ('Bhartiya Mall of Bengaluru', '4.6 km'), ('Manyata Tech Park', '4.3 km')]"
Ahad Serenity,"[('Beratena Agrahara Metro Station (upcoming)', '3 km'), ('ORCHIDS The International School', '4 km'), ('Springleaf Hospital', '4 km'), ('Market Square Mall Sarjapur Road', '5 km'), ('State Highway 35', '5 km'), ('Amrita Vishwa Vidyapeetham, Bengaluru', '6 km'), ('JP Software Park', '6 km')]"
Aishwarya Chethana Meadows,"[('Gear Innovative International School', '2 km'), ('Lakshya Public School', '2 km'), ('Karunalayam Hospital', '2 km'), ('Carmelaram Railway Station', '2 km'), ('RGA Techpark', '2 km'), ('Sarjapur Main Road', '1 km')]"
Aisiri Elegant,"[('Unity Hospital Bengaluru Urban', '2.0 km'), ('Global Academy of Technology', '1.8 km'), ('AGS Layout Bus Stand', '1.5 km'), ('Carmel School Ground', '2.0 km'), ('Quality Nursing Institute', '2.0 km')]"
Ajmera Lakeside Paradise,"[('Neha Prakash Hospital', '1.7 km'), ('Nagarjuna Pre University College', '2.1 km'), ('Doddaballapur Main Road', '2.9 km'), ('Garuda Mall', '4.1 km'), ('Yelahanka Junction', '6.4 km'), ('The Galleria Mall', '5.0 km'), ('Yelahanka Metro Station', '6.0 km')]"
Ajmera Nucleus,"[('Bommasandra Metro Station', '1.5 km'), ('Kauvery Hospitals', '2.0 km'), ('Ebenezer International School', '1.8 km'), ('Infosys Office', '2.5 km'), ('Wipro', '2.5 km')]"
Ajmera Stone Park,"[('Srujana Hospital', '1.5 km'), ('Shree Vinayaka Multispeciality Centre', '2.0 km'), ('Wipro EC Bus Stand', '1.5 km'), ('Ebenezer International School', '2.5 km'), ('Hebbagodi Metro Station', '1.5 km')]"
Akash Villa,"[('Yelachenahalli Metro Station', '1.5 km'), ('Supra South City Hospital', '2.0 km'), ('Greenvalley High School', '2.0 km'), ('Narayana e-Techno School', '2.0 km'), ('Forum Mall', '4.0 km')]"
Akshara Paramount,"[('Hebbagodi Metro Station', '1.5 km'), ('Bommasandra Metro Station', '2.0 km'), ('JJ Hospitals', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Ebenezer International School', '1.8 km')]"
Akshaya Temple Tree,"[('Yashomathi Hospitals', '2 km'), ('Vibgyor High Marathahalli', '2 km'), ('Kundalahalli Metro Station', '2 km'), ('Brookefield Mall', '3 km'), ('International Tech Park', '2 km'), ('Kundalahalli Main Road', '1 km')]"
Akshayas Shell Brundavan,"[('Akshaya Nursing Home Yelahanka', '1.5 km'), ('Santhamma Hospital', '1.8 km'), ('Sambhram Institute of Technology', '2.0 km'), ('Yelahanka Junction', '3.0 km'), ('The Galleria Mall', '3.5 km'), ('Doddaballapur Main Road', '1.0 km')]"
Akul Residency,"[('Global Indian International School GIIS', '2 km'), ('Lakshya Public School', '2 km'), ('Government Hospital', '2 km'), ('Karunalayam Hospital', '2 km'), ('RGA Techpark', '2 km'), ('Carmelaram Railway Station', '2 km'), ('Varthur Main Road', '1 km')]"
Alpe Eco,"[('Ekya School', '2 km'), ('Telerad Rx Dx Health Care', '2 km'), ('Vasan Eye Care Hospital Marathahalli', '2 km'), ('Sitaramapalya Metro Station', '2 km'), ('Phoenix Market City', '2 km'), ('Bagmane Tech Park', '2 km')]"
Alpe Eco Doddanekundi,"[('Vibgyor School', '2 km'), ('Sbf Health Bengaluru Urban', '2 km'), ('Doddanekundi Metro Station', '2 km'), ('Bagmane Tech Park', '2 km'), ('Outer Ring Road', '1 km')]"
Alpe Meadows,"[('LR International School', '2 km'), ('Venus MultiSpeciality Hospital', '2 km'), ('Comfort Multispeciality Hospital', '2 km'), ('Marathahalli Main Road', '1 km'), ('Kundalahalli Metro Station', '2 km'), ('Forum Value Mall', '3 km')]"
Alpe Pyramid Sahakara Nagar,"[('Sri Aurobindo Public School', '0.65 km'), ('Kodigehalli Railway Station', '1.6 km'), ('GKVK', '2.0 km'), ('Manipal Hospital Hebbal', '4.2 km'), ('Esteem Mall', '4.1 km'), ('NH44', '4.7 km'), ('Orchids The International School', '2.0 km')]"
Alpe Viva,"[('Whitefield Railway Station', '2 km'), ('New Life Hospital Bangalore', '3 km'), ('Whitefield (Kadugodi) Metro Station', '2 km'), ('Nexus Shantiniketan Mall', '4 km'), ('MVJ College of Engineering', '4 km')]"
Alpha Manor,"[('Heritage International School', '2 km'), ('Florida College of Management and Computer Science', '2 km'), ('CDEC Hospital', '2 km'), ('Medicure Hospital', '2 km'), ('Arabic College Metro Station', '2 km'), ('Elements Mall', '3 km')]"
Amaravathi Sai Builders,"[('Srujana Hospital', '2.0 km'), ('E-City Family Dental Centre', '1.8 km'), ('Wipro EC Bus Stand', '1.5 km'), ('Infosys Office', '2.5 km')]"
Amaravati Sai Mokshita,"[('Hebbagodi Metro Station', '1.5 km'), ('JJ Hospitals', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Ebenezer International School', '1.8 km'), ('Infosys Office', '2.5 km')]"
Ambika Residency,"[('Bommasandra Metro Station', '1.5 km'), ('Naryana Hrudalya', '2.0 km'), ('BTL Institute of Technology', '1.8 km'), ('Heelalige Railway Station', '2.0 km'), ('Global Speciality Hospital', '2.0 km')]"
Amigo Amparo,"[('Akshaya Nursing Home', '1.5 km'), ('Omega Multispeciality Hospital', '2.0 km'), ('N4 Srishti Institute of Art Design', '1.0 km'), ('Poorna Prajna Education Center', '1.5 km'), ('Yelahanka Junction', '2.0 km'), ('The Galleria Mall', '2.0 km')]"
Amigo Estella,"[('Sai Hospital', '1.5 km'), ('Bangalore Prime Hospital', '2.0 km'), ('Samar International Islamic School', '1.8 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.5 km')]"
Amigo Lake View Apartments,"[('Regal Hospital', '1.5 km'), ('Sai Hospital', '2.0 km'), ('Karnataka College', '1.8 km'), ('Samar International Islamic School', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.5 km'), ('Thanisandra Railway Station', '2.0 km')]"
Amma and Sreerama Apartment,"[('Amrutha Hospital', '1.8 km'), ('Jawaharlal Nehru Centre For Advanced Scientific Research', '3.0 km'), ('The Galleria Mall', '4.0 km'), ('Yelahanka Junction', '3.5 km'), ('Elements Mall', '3.0 km')]"
Amrutha Heights Phase 2,"[('Narayana School', '0.8 km'), ('Sri Chaitanya Techno School', '3.8 km'), ('Gopalan College', '3.7 km'), ('Vydehi Hospital', '2.2 km'), ('Whitefield Metro Station', '2.7 km'), ('Inox Forum Value Mall', '2.9 km'), ('International Tech Park', '2.1 km')]"
Amrutha Heights Phase 2 Nallurhalli,"[('Narayana School', '0.8 km'), ('Sri Chaitanya Techno School', '3.8 km'), ('MVJ College of Engineering', '4.4 km'), ('Vydehi Hospital', '2.2 km'), ('Manipal Hospital', '2.7 km'), ('Inorbit Mall', '2 km'), ('International Tech Park', '2.1 km')]"
Amrutha Lakewoods,"[('Sai Hospital', '1.5 km'), ('Navya Hospital', '1.8 km'), ('Kensri School', '2.0 km'), ('Tanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('Jawaharlal Nehru Centre For Advanced Scientific Research', '3.0 km')]"
Ananth Nagar Phase 2 SVR Kutiram,"[('Hebbagodi Metro Station', '1.5 km'), ('JJ Hospitals', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Ebenezer International School', '1.8 km'), ('Infosys Office', '2.5 km')]"
Anjali Palms Meadows,"[('Singasandra Metro Station', '1.5 km'), ('Hospitec Multispeciality Hospital', '2.0 km'), ('New Bharat International Kudlu Gate', '2.0 km'), ('Shree Vidyanikethan', '2.0 km'), ('Kudlu Gate Metro Station', '1.5 km')]"
Anjanadri Apartment,"[('Maharaja Agrasen Hospital Bengaluru Urban', '2.0 km'), ('Prarthana School', '1.8 km'), ('Chikkalasandra Bus Stop', '1.5 km'), ('Bangalore Kidney Foundation - NU Hospital', '2.0 km'), ('Sahakari Vidya Kendra', '2.0 km')]"
Anjandri Elite,"[('Pattanagere Metro Station', '1.5 km'), ('MEDSOL Hospital', '2.0 km'), ('R.V. College of Engineering', '1.8 km'), ('Global Village Tech Park', '2.0 km'), ('Orchids The International School Mysore Road', '2.0 km')]"
Anriya Dwellgton,"[('S.J. Hospital', '1.5 km'), ('Mamta Hospital Bengaluru Rural', '1.8 km'), ('Vyasa International School', '1.0 km'), ('Lotte Gollahalli Railway Station', '2.0 km'), ('Mantri Square Mall', '3.5 km'), ('Yeshwantpur Junction', '3.0 km')]"
Anugraha Apartments,"[('Magadi Road Metro Station', '1.5 km'), ('Punya Hospital Bengaluru Urban', '2.0 km'), ('Matru Nursing Home And Trauma Care Centre', '2.0 km'), ('S Cadambi Pre University College', '1.8 km'), ('St Charles High School', '1.8 km')]"
Aparna Ela,"[('Manipal Hospital Yeshwanthpur', '2.0 km'), ('ORCHIDS The International School', '1.8 km'), ('Yeshwanthpur Metro Station', '1.5 km'), ('Orion Mall', '2.0 km'), ('Indian Institute of Science', '2.0 km')]"
Apartment,"[('Athreya Hospital', '2.0 km'), ('BTL Institute of Technology', '2.0 km'), ('Suryanagar Bus Stop', '1.5 km'), ('Naryana Hrudalya', '2.0 km'), ('Heelalige Railway Station', '2.0 km')]"
Apoorva Sree,"[('Bommasandra Metro Station', '1.5 km'), ('Naryana Hrudalya', '2.0 km'), ('BTL Institute of Technology', '1.8 km'), ('Heelalige Railway Station', '2.0 km'), ('Global Speciality Hospital', '2.0 km')]"
Apurva Maples,"[('Good Shepherd Hospital', '1.5 km'), ('Sri Sai Hospital', '2.0 km'), ('HMR International School', '1.8 km'), ('Nagawara Metro Station', '2.0 km'), ('Elements Mall', '2.5 km')]"
Ar Tranquil Green,"[('Shree Vijayalakshmi Hospital', '1.5 km'), ('Sri Maatha Dental Care', '2.0 km'), ('Sinclairs High School', '1.8 km'), ('Banaswadi Railway Station', '2.5 km'), ('Elements Mall', '2.0 km')]"
Aratt Milano,"[('St Gasper School', '1.8 km'), ('GHPS Doddanagamangala', '2.0 km'), ('Gattahalli Bus Stop', '1.5 km'), ('BES Naganathapura', '2.0 km')]"
Aratt Premier,"[('Vydehi Hospital', '2 km'), ('Hoodi Halt Railway Station', '2 km'), ('Outer Ring Road', '1 km'), ('Forum Shantiniketan Mall', '2 km'), ('International Tech Park', '2 km'), ('EPIP Zone', '2 km'), ('Manyata Tech Park', '3 km')]"
Aratt Requizza,"[('Bhumika Hospital', '2.0 km'), ('ISBR Business School', '1.8 km'), ('Wipro EC Bus Stand', '1.5 km'), ('E-City Family Dental Centre', '1.8 km')]"
Arcade Dreams,"[('Whitefield Global School', '2 km'), ('St. Thomas School', '2 km'), ('MVJ College of Engineering', '2 km'), ('Bhagwan Mahavir Jain Health Center', '2 km'), ('Whitefield (Kadugodi) Metro Station', '2 km'), ('Nexus Shantiniketan Mall', '3 km')]"
Arcade Elegance,"[('Shree Vijayalakshmi Hospital', '1.5 km'), ('Yuvalok School', '2.0 km'), ('Sinclairs High School', '1.5 km'), ('Thanisandra Railway Station', '2.0 km'), ('Bhartiya Mall of Bengaluru', '2.0 km'), ('Elements Mall', '2.5 km'), ('Hennur Main Road', '1.0 km')]"
Architha 3,"[('Mysore Road Metro Station', '1.5 km'), ('Unity Hospital Bengaluru Urban', '2.0 km'), ('Sri Venkateshwara Nethralaya', '2.0 km'), ('RNS Institute of Technology', '1.8 km'), ('Global Academy of Technology', '1.8 km')]"
Architha Aarna,"[('Pathway Super Speciality Hospital', '1.0 km'), ('Presidency School Banashankari', '2.3 km'), ('Gopalan Arcade Mall', '4.0 km'), ('Kengeri Railway Station', '4.8 km'), ('PES University', '6.7 km')]"
Ardente PE Grove,"[('Blossom Multi Speciality Hospital', '2.0 km'), ('St Gaspar School', '1.8 km'), ('Dodda Nagamangala Bus Stop', '1.5 km'), ('Azim Premji University', '2.5 km'), ('Heelalige Railway Station', '2.0 km')]"
Arge Urban Bloom,"[('ESIC Model Hospital Peenya', '2.0 km'), ('Yeshwanthpur Junction', '1.8 km'), ('Yeshwanthpur Metro Station', '1.5 km'), ('Ambika Traders APMC YARD Market', '2.0 km'), ('Sparsh Pharmacy', '2.0 km')]"
Arjun Aura Apartments,"[('Rajashri Grandhim Hospitals', '2.0 km'), ('Blue Star Education Trust Bilekalli', '1.8 km'), ('Bilekahalli Bus Stop', '1.5 km'), ('Akshara Eye Hospital', '2.0 km'), ('Nightingale English School', '2.0 km')]"
Ark Serene County,"[('Whitefield Global School', '2 km'), ('MVJ College of Engineering', '3 km'), ('Bhagwan Mahavir Jain Health Center', '2 km'), ('Channasandra Metro Station', '2 km'), ('Whitefield Metro Station', '2 km'), ('Old Madras Road', '1 km')]"
Arna Splendor,"[('Hebbagodi Metro Station', '1.5 km'), ('JJ Hospitals', '1.5 km'), ('Vimalaya Hospital', '2.0 km'), ('Ebenezer International School', '1.8 km'), ('Infosys Office', '2.5 km')]"
Arsis Green Hills,"[('Tirumala Medical Centre', '220 m'), ('Shemrock Kiddie House', '300 m'), ('New Indus Valley Residential School', '450 m'), ('Kristu Jyoti College', '600 m'), ('Villupuram Road Battarahalli', '650 m'), ('Royalmart Hypermarket', '700 m'), ('Hoodi Halt Railway Station', '3.7 km')]"
Artha Emprasa,"[('Hoskote Government Hospital', '1 km'), ('Dhruva Nursing Home And Diagnostic Centre', '1.5 km'), ('Sri Srinivasa Hospital Bengaluru Rural', '2 km'), ('NH75', '1 km'), ('Hoskote Bus Stand', '1.2 km'), ('New Horizons School', '3 km'), ('Orion Uptown Mall', '5 km')]"
Artha Neo Midas,"[('Hoskote Government Hospital', '1 km'), ('Dhruva Nursing Home And Diagnostic Centre', '1.5 km'), ('Sri Srinivasa Hospital Bengaluru Rural', '2 km'), ('NH75', '1 km'), ('Hoskote Bus Stand', '1.2 km'), ('New Horizons School', '3 km'), ('Orion Uptown Mall', '5 km')]"
Artisane Forest Breeze,"[('Apollo Hospital', '2.0 km'), ('Vivekanand Hospital', '2.0 km'), ('Dollars Colony Bus Stop', '1.5 km')]"
Artismo Millionaire Tower,"[('Sri Venkateshwara College', '2.3 km'), ('Cytecare Hospitals', '8.4 km'), ('Ecopolis', '5.7 km'), ('Canadian International School', '9.5 km'), ('The Galleria Mall', '5.0 km'), ('NH 44', '1.0 km'), ('Akash Hospital', '3.0 km')]"
Arun MS Palazzo,"[('Amrutha Hospital', '1.5 km'), ('Eswar Women and Day Care Hospital', '2.0 km'), ('Jnanadeepika School', '1.8 km'), ('Yelahanka Junction', '2.5 km'), ('The Galleria Mall', '2.0 km')]"
Arun Patios,"[('Navachethana Hospital', '2.0 km'), ('Omega Multispeciality Hospital', '2.5 km'), ('Ryan International School', '2.0 km'), ('Nitte Meenakshi Institute of Technology', '3.0 km'), ('Yelahanka Junction', '3.5 km'), ('Doddaballapur Main Road', '1.0 km'), ('The Galleria Mall', '4.0 km')]"
Arya Lotus,"[('Whitefield Global School', '2 km'), ('St. Thomas School', '2 km'), ('Delhi Public School', '2 km'), ('Vasan Eye Care', '2 km'), ('Kadugodi Industrial Area Metro Station', '2 km'), ('Inorbit Mall', '2 km')]"
Aryan 1 Celeste,"[('CyteCare', '2.0 km'), ('Krishnadevaraya Hospital And Research Centre', '1.5 km'), ('Ryan International School', '2.0 km'), ('Yelahanka Junction', '2.0 km'), ('The Galleria Mall', '3.0 km'), ('B.M.S. Institute of Technology and Management', '2.0 km'), ('Nitte Meenakshi Institute of Technology', '2.5 km')]"
Aryan Arcade,"[('Baptist Hospital', '1.5 km'), ('Poornima Hospital', '2.0 km'), ('Sukrupa School', '1.8 km'), ('Hebbal Railway Station', '2.0 km'), ('Elements Mall', '2.5 km')]"
Aryan Fairy,"[('Hebbal Medical Center', '1.5 km'), ('Jawaharlal Nehru Centre For Advanced Scientific Research', '2.0 km'), ('Elements Mall', '2.5 km'), ('Hebbal Railway Station', '2.0 km'), ('KLAY Prep Schools and Day Care', '1.8 km')]"
Aryan Opulence,"[('Mysore Road Metro Station', '6.4 km'), ('Good Shepherd Institutions', '0.55 km'), ('BGS Gleneagles Global Hospitals', '1.7 km'), ('Gospel International School', '0.9 km'), ('Gopalan Arcade Mall', '4.0 km')]"
Aryan Pebble Bay,"[('Swamy Vivekananda Primary and High School', '2 km'), ('Manasa Public School', '2 km'), ('Apollo Clinic', '2 km'), ('Outer Ring Road', '1 km'), ('PVR', '2 km')]"
Aryan She,"[('Lakshya Public School', '2 km'), ('Global Indian International School GIIS', '2 km'), ('Karunalayam Hospital', '2 km'), ('Government Hospital', '2 km'), ('Carmelaram Railway Station', '2 km'), ('RGA Tech Park', '2 km'), ('Virginia Mall', '2 km')]"
Ashish Green B Block,"[('Sarjapur Road', '1 km'), ('Vasishta School of Excellence', '2 km'), ('Town Hospital Sarjapura', '3 km'), ('Global Technology Park', '4 km'), ('ORCHIDS The International School', '3 km'), ('Market Square Mall Sarjapur Road', '5 km'), ('Beratena Agrahara Metro Station (upcoming)', '4 km')]"
Ashish JK Apartments,"[('Vibgyor High Marathahalli', '2 km'), ('Akash IIT JEE', '2 km'), ('Yashomathi Hospitals', '2 km'), ('Kundalahalli Metro Station', '2 km'), ('Marathahalli Main Road', '1 km'), ('Big Bazaar', '2 km')]"
Ashish Monarch Apartments,"[('Neev School', '2 km'), ('Government Hospital', '2 km'), ('Varthur Main Road', '1 km'), ('Carmelaram Railway Station', '3 km'), ('RGA Techpark', '3 km'), ('Forum Neighbourhood Mall', '3 km')]"
Ashrayam Apartment,"[('Hebbagodi Metro Station', '1.5 km'), ('Velankani Tech Park', '2.0 km'), ('E-City Family Dental Centre', '1.8 km'), ('Wipro EC Bus Stand', '2.0 km'), ('ISBR Business School', '2.5 km')]"
Ashwi Flora Apartments,"[('Orchids The International School - Horamavu', '2 km'), ('St George High School', '2 km'), ('Cloudnine Hospital', '2 km'), ('Procare Hospital', '2 km'), ('KR Puram Railway Station', '3 km'), ('Elements Mall', '3 km')]"
Ashwi Heights,"[('Dr Ambedkar Nursery Primary & High School', '2 km'), ('NPS Indiranagar', '2 km'), ('Lohitha Hospital', '2 km'), ('Anand Diagnostic', '2 km'), ('Indiranagar Metro Station', '2 km'), ('CMH Road', '1 km'), ('100 Feet Road', '2 km')]"
Aspira,"[('St Marthas Hospital', '2.0 km'), ('Gubbalala School', '1.8 km'), ('Uttarahalli Bus Station', '1.5 km'), ('RNS Institute of Technology', '2.0 km'), ('Quality Nursing Institute', '2.0 km')]"
Asrithas Eeshan NZ Meadows,"[('Sree Venkateshwara Speciality Hospital', '2.0 km'), ('LPS Vinayakanagar Shanthinagar', '1.8 km'), ('Mico Bosch Metro Station', '1.5 km'), ('V. S. Achar Multispeciality Hospital', '2.0 km'), ('GHPS Lakkasandra', '2.0 km')]"
Asrithas Happy Living,"[('Vinayaka Specialty Hospital', '1.5 km'), ('Silicon City HPS Bommana Halli', '1.8 km'), ('Kudlu Gate Metro Station', '2.0 km'), ('Galaxy Paradise', '2.5 km'), ('Royal Meenakshi Mall', '3.0 km')]"
Asset Alcazar,"[('The International School of Bangalore', '2 km'), ('Inventure Academy', '2 km'), ('Greenwood High Sarjapur', '2 km'), ('Oakridge International School', '2 km'), ('Govt PU College', '2 km'), ('SH 35', '1 km'), ('Market Square Mall', '2 km')]"
Assetz 22 and Crest,"[('Manipal Hospital Yeshwanthpur', '2.0 km'), ('ORCHIDS The International School', '1.8 km'), ('Yeshwanthpur Metro Station', '1.5 km'), ('Orion Mall', '2.0 km'), ('MS Ramaiah University', '2.0 km')]"
